site_code,site_name,site_type_name,latitude,longitude,rkm,rkm_total,min_start_date,max_end_date,site_description
LAP,"Lapwai Creek, near its mouth",Instream Remote Detection System,46.443273,-116.812535,522.224.019.001,766,2008-10-01,2023-01-24,"In-stream detection system consisting of two arrays located in Lapwai Creek.  The site (LAP) is located at river km 522.224.019.001 (46.443273, -116.812535) and consists of two arrays each having one 20 foot and one 10 foot Biomark HDPE antenna.  Each array spans the entire river at base flow.  LAP is operated by the Nez Perce Tribe Fisheries and cooperates with Reclamation.  The site was moved 750m upstream from its original location and reinstalled on November 6, 2012 and updated January 24, 2023 with a new IS1001 Master Controller, Cloudgate cellular modem,   and CSI probe board.  Electrical power is provided by a Clearwater Power.  "
SWT,Sweetwater Cr. near its mouth,Instream Remote Detection System,46.369217,-116.795757,522.224.019.010.001,776,2008-08-01,2011-01-01,"This is an in-stream interrogation system consisting of three separate antennas, 5 meters apart and approximately 0.1 kilometers upstream from the mouth of Sweetwater Creek. The upstream antenna B1, middle antenna B2, and downstream antenna B3 each consist of a single PVC encased flat-plate antenna.  Antennas B1 and B3 are 15 feet wide and antenna B2 is 10 feet wide.  The antennas all cover the width of the stream in all but the highest spring discharges (Figure 3). SWT is operated by the University of Idaho, Department of Fish and Wildlife Resources in coordination with Bureau of Reclamation. This new setup was installed in November 2011 and replaced the old setup that was originally installed in November 2010."
WEB,Webb Creek,Instream Remote Detection System,46.325992,-116.831974,522.224.019.010.006.001,782,2010-11-17,2022-09-09,"This is an in-stream interrogation system consisting of two separate antennas, 10 meters apart and approximately 1.0 kilometers upstream from the mouth of Webb Creek, powered by a Destron Fearing FS1001M (labeled D0). The upstream antenna, D1, and downstream antenna, D2, each consist of a single PVC flat-plate antenna engineered by NMFS. The antennas both cover the width of the stream in all but the highest spring discharges. WEB is operated by the University of Idaho, Department of Fish and Wildlife Resources in coordination with Bureau of Reclamation."
MIS,Mission Creek,Instream Remote Detection System,46.367062,-116.735597,522.224.019.016.001,782,2010-12-23,2019-04-09,"This is an in-stream interrogation system consisting of two separate antennas, 7 meters apart and approximately 0.1 kilometers upstream from the mouth of Mission Creek, powered by a Destron Fearing FS1001M (labeled C0). The upstream antenna, C1, and downstream antenna, C2, each consist of a single fiberglass flat-plate antenna engineered by Biomark Inc. The antennas both cover the width of the stream in all but the highest spring discharges. MIS is operated by the University of Idaho, Department of Fish and Wildlife Resources in coordination with Bureau of Reclamation. Site is no longer active."
JUL,Potlatch River near Juliaetta,Instream Remote Detection System,46.565323,-116.709318,522.224.024.014,784,2008-10-02,2013-05-22,"The site is an Instream Floating Remote Detection System on the Potlatch River near Juliaetta. The site became operational 2-22-2013. The site is at rkm 14 on the Potlatch River, lat/long N 46 33 55.71, W 116 42 32.99 (Decimal Degrees 46.565475, -116.709164). It is roughly 50 meters downstream of where the flat panel array is. The site is made up of 1-8 antennas coded as ID: 01, 02, 03, 04, 05, 06, 07, 08. The antennas stretch across a suspended cable with antenna 01 starting on river right and ending at antenna 08 on river left."
KHS,Big Bear Cr. @ Kendrick HS,Instream Remote Detection System,46.619115,-116.646846,522.224.024.023.000,793,2007-12-01,2015-01-29,"This floating array interrogation system is located near the mouth of Big Bear Creek adjacent to the high school in the town of Kendrick, Idaho.  The array is set up with an upper span of Bio Float antennas (01, 02, 03, 04) and a lower span of Bio Float antennas (05, 06, 07, 08).  KHS was originally installed in 2007 with 6 pass over PVC antennas. The floating array configuration came online January 2015."
BBA,Big Bear Creek Array,Instream Remote Detection System,46.627882,-116.650795,522.224.024.023.002,795,2018-03-02,2021-02-01,"The Big Bear Creek Array is located in Big Bear Creek about 1.3 river kilometers from the confluence with the Potlatch River. Two 40 ft. Biomark litz cord antennas in series powered by two stand-alone IS1001 readers, replaced the previous configuration of two 20 ft. antennas in one row and a QuBE-IS1001 controller in February 2021."
PCM,"Pine Creek Mouth, Potlatch R.",Instream Remote Detection System,46.630673,-116.596836,522.224.024.028.001,799,2015-10-01,NA,The Pine Creek Array is located on Pine Creek immediately above the confluence with the Potlatch River near river kilometer 28.  PCM was fully operational on 10-1-2015.  The site consists of two sets of two antennas.  A cellular modem has been set up for remote data retrieval.
EPR,East Fork Potlatch Array,Instream Remote Detection System,46.795091,-116.41088,522.224.024.065.003,838,2019-10-25,NA,The site is located in the East Fork Potlatch River about 3 river kilometers from the confluence with the Potlatch River. The site consists of two rows of antennas with each row containing one 20’ HDPE antenna. A Biomark IS1001-MTS master controller controls the site and is powered by a propane thermoelectric generator providing year-round operations.
HLM,Potlatch River near Helmer,Instream Remote Detection System,46.799006,-116.428412,522.224.024.066,836,2009-09-01,2015-05-22,"This in-stream site is located near the town of Helmer, on the mainstem Potlatch River at km 66, just below the confluence of the West Fork and East Fork Potlatch rivers. Site is no longer active."
JA1,Jacks Creek Seasonal IPTDS,Instream Remote Detection System,46.503864,-116.549759,522.224.047.001,794,2021-01-01,NA,"Jacks Creek is a tributary of the lower Clearwater River, Idaho. The confluence of Jacks Creek is on the south side of the Clearwater River at river kilometer 47. Jacks Creek is about 10 miles long, drains about 15,000 acres, and is a minor spawning area for Snake River summer steelhead within the Lower Mainstem Clearwater steelhead population. The Jacks Creek interrogation site was installed as a temporary and seasonal site downstream of river kilometer 1 to estimate steelhead abundance within the Jacks Creek spawning aggregate because an interrogation sites downstream of the Lower Mainstem Clearwater capable of providing a population estimate for the population does not exist."
LC1,Lower Lolo Creek at rkm 21,Instream Remote Detection System,46.29436,-115.97616,522.224.087.021,854,2011-11-01,NA,"Instream detection system consisting of a single array located in the Lolo Creek, a tributary to the Clearwater River. The array (LC1) is located at river km 522.224.087.021 (N 46.294434 W -115.976119) and consists of four 20 foot Biomark flat panel antennas that span the entire river at base flow. LC1 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring in November 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by an AC battery switcher and remote communication provided by a land line phone modem."
LC2,Upper Lolo Creek at rkm 25,Instream Remote Detection System,46.290498,-115.933747,522.224.087.025,858,2011-11-01,NA,"Instream detection system consisting of a single array located in the Lolo Creek, a tributary to the Clearwater River. The array (LC2) is located at river km 522.224.087.025 (N 46.290562 W -115.934153) and consists of four 20 foot Biomark flat panel antennas that span the entire river at base flow. LC2 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring in November 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided using a solar/propane hybrid thermal electric generator and remote communication provided by a satellite phone modem."
SIX,Sixmile Creek Seasonal IPTDS,Instream Remote Detection System,46.301448,-116.133507,522.224.096.001,843,2023-02-08,NA,"Sixmile Creek is a tributary of the lower Clearwater River, Idaho. The confluence of Sixmile Creek is on the west side of the Clearwater River at river kilometer 96.  Sixmile Creek is about 8 miles long, draining 3,320 acres, and is considered an unknown spawning area for Snake River summer steelhead within the Lower Mainstem Clearwater steelhead population. The Sixmile Creek interrogation site was installed as a temporary and seasonal site at river kilometer 0.4 to estimate steelhead abundance within the Lawyer Creek spawning aggregate because an interrogation site downstream of the Lower Mainstem Clearwater capable of providing a population estimate for the population does not exist."
LAW,Lawyer Creek Seasonal IPTDS,Instream Remote Detection System,46.218469,-116.028985,522.224.109.001,856,2023-01-27,NA,"Lawyer Creek is a tributary of the lower Clearwater River, Idaho. The confluence of Lawyer Creek is on the west side of the Clearwater River at river kilometer 109. Lawyers Creek is about 41 miles long, draining 137,360 acres, and is considered a major spawning area for Snake River summer steelhead within the Lower Mainstem Clearwater steelhead population. The Lawyer Creek interrogation site was installed as a temporary and seasonal site at river kilometer 1.5 to estimate steelhead abundance within the Lawyer Creek spawning aggregate because an interrogation site downstream of the Lower Mainstem Clearwater capable of providing a population estimate for the population does not exist."
SC1,Lower SF Clearwater R at rkm 1,Instream Remote Detection System,46.137022,-115.981313,522.224.120.001,867,2011-08-18,2019-09-18,"Instream detection system located in the lower South Fork Clearwater River. The site is located at river km 0.9 consists of a single array of seven 20-ft Biomark HDPE antennas. The array spans the entire channel during low flow conditions. SC1 is operated by the Nez Perce Tribe and Biomark and was originally installed for continuous monitoring on August 19, 2011, with a FS2001M and six antennas. The site was upgraded to an IS1001-MTS on September 19, 2019. The array includes air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by grid power and remote communication provided by a cellular modem."
SC2,Lower SF Clearwater R at rkm 2,Instream Remote Detection System,46.127209,-115.97776,522.224.120.002,868,2011-09-19,NA,"Instream detection system consisting of a tandem array located in the lower South Fork Clearwater River. The array (SC2) located at river km 2 (N 46.12749 W -115.97730) consists of a single array of six 20 ft Biomark flat panel antennas each. The array spans the channel during low flow conditions. SC2 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on September 19, 2011. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by grid power and remote communication provided by a cellular modem."
CLC,Clear Creek near Kooskia NFH,Instream Remote Detection System,46.132739,-115.950184,522.224.120.004.001,871,2015-02-11,2018-07-23,"Instream detection array located in lower Clear Creek, a tributary to the Clearwater River, just downstream of Kooskia National Fish Hatchery. The array (CLC) is located at river km 522.224.120.004.001 and consists of five 10 foot Biomark flat panel antennas that span the entire river at base flow. The system is powered by Kooskia NFH and transmits interrogation data to the IFRO through a cellular modem. Data is reported to PTAGIS weekly via manually e-mailed interrogation files. CLC is operated by the Idaho Fishery Resource Office located in Orofino, ID. The array was installed in July, 2014 and began operation in February, 2015. Site was removed July 2018."
LRL,Lower Lochsa River Array Site,Instream Remote Detection System,46.145727,-115.596497,522.224.120.037.001,904,2016-10-10,NA,Site is located in lower 1km of the mainstem Lochsa River.  Site is comprised of thirteen 20ft. antennas with the electronic enclosure located on river left.  The site consists of a single array of antennas and is channel spanning.  The site contains two IS1001-MC units.  The left unit controls antennas 3-11 and the right unit controls antennas 1-2.
LRU,Lochsa River Upper Site,Instream Remote Detection System,46.163821,-115.589663,522.224.120.037.003,906,2017-12-05,NA,Site is located in lower 3km of the mainstem Lochsa River.  Site is comprised of eighteen 20ft. antennas with the electronic enclosure located on river right.  The site consists of a single array of antennas and is channel spanning.  The site contains two IS1001-MC units.  The left unit controls antennas 1-9 (A1-A9) and the right unit controls antennas 10-18 (B1-B9).
SW1,Lower Selway River Array,Instream Remote Detection System,46.110318,-115.565886,522.224.120.037.005,908,2016-11-01,NA,"The lower Selway PIT tag array is located 5 rkm upstream of the mouth of the Selway River in the upper Clearwater Basin Idaho.  The array spans the entire river, high water mark to high water mark.  The site consists of a pair of Biomark IS1001-Master Controllers, 19-IS1001 readers, eighteen 20 ft antennas and one 10 ft antenna. The antennas are arranged in single 370 ft array. IS1001-MC A0 controls antennas 01-0A (from left-bank) and IS1001-MC BO controls antennas 01-09 (from middle of channel to right bank). Site has AC power with Biomark PLC battery switcher, satellite communication and Campbell Scientific CS451 and 109 environmental probes."
SW2,Upper Selway River Array,Instream Remote Detection System,46.085934,-115.515533,522.224.120.037.013,916,2017-09-11,NA,"Site consists of a pair of Biomark IS1001-Master Controllers, 18-IS1001 readers, sixten 20 ft antennas and two 10 ft antennas. The antennas are arranged in single 340 ft array. IS1001-MC A0 controls antennas 01-09 (from left-bank) and IS1001-MC BO controls antennas 01-09 (from middle of channel to right bank). Site has AC power with Biomark PLC battery switcher, satellite communication and Campbell Scientific CS451 and 109 environmental probes."
SC3,South Fork Clearwater Site 3,Instream Remote Detection System,45.814145,-115.815972,522.224.120.060,926,2021-08-23,NA,"Lower, single array to help quantify passage near Milepost 28 on state highway 14. Array is located just upstream of Peasley Creek on the mainstem South Fork Clearwater River, Idaho."
SC4,South Fork Clearwater Site 4,Instream Remote Detection System,45.8235,-115.6341,522.224.120.081,947,2021-08-23,NA,"Upper, dual array to help quantify passage near Milepost 28 on state highway 14. Array is located just upstream of Forest Road 492 bridge and below Leggett Creek in the mainstem South Fork Clearwater River, Idaho."
CRA,Crooked River Array,Instream Remote Detection System,45.821493,-115.52766,522.224.120.094.000,960,2021-10-07,NA,Instream array on Crooked River near the confluence with the South Fork Clearwater River consisting of two arrays of antennas and an IS001 master controller. Upstream array has two 20ft antennas and the downstream array has two 20 ft antennas. System is powered by direct AC power to a pair of battery banks.
ACM,Asotin Creek near mouth,Instream Remote Detection System,46.341368,-117.055707,522.234.001,757,2011-08-01,2012-08-30,"ACM is a permanent instream PIT tag interrogation site located near the mouth of Asotin Creek, a tributary of the Snake River. As of 10/12/2018 all previous components present at ACM have been replaced and upgraded. The site consists of 3 rows of antennas with each row containing two 20- foot HDPE antennae, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACM until further notice. Prior to the upgrade, the site consisted of six antennas powered by an FS1001M."
ACB,Asotin Cr. at Cloverland Brdg.,Instream Remote Detection System,46.325584,-117.108679,522.234.005,761,2009-07-30,2018-10-23,"ACB is a permanent instream PIT tag interrogation site located near Cloverland Bridge (RKM 4.5) on Asotin Creek, a tributary of the Snake River. As of 10/23/2018 all previous components present at ACB have been replaced and upgraded. The site consists of 2 rows of antennas with each row containing one 20-foot and one 10-foot HDPE antenna, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACB until further notice. Prior to the upgrade, the site consisted of three antennas powered by an FS1001M."
CCA,Lower Charley Creek ISA,Instream Remote Detection System,46.288458,-117.282497,522.234.022.001,779,2010-04-11,2021-12-20,"From August 2009 to April 2010, site consisted of a single antenna powered by a FS2001-ISO. In August 2010, a second antenna powered by a second cheeseblock was installed. The data collected from August 2009 - August 2011 was originally reported as Passive Recaptures. In August 2011, the site was upgraded to use a FS2001M and it was officially registered as an interrogation site in PTAGIS. In September 2017, a third antenna was added to the site. In December 2017, the original passive recapture records were removed and the detection records from that time period were submitted as interrogation data. Site was destroyed by wildfire July 2021, but was reinstalled in December 2021 with a Biomark IS1001 Master Controller and three antennas."
AFC,No./So. Fk Asotin Cr. Jct. ISA,Instream Remote Detection System,46.272487,-117.292147,522.234.025,781,2009-07-30,2018-10-26,"AFC is a permanent instream PIT tag interrogation site located at the confluence of the North and South Forks Asotin Creek, a tributary of the Snake River. As of 10/25/2018 all previous components present at AFC have been replaced and upgraded. The site consists of a single 20-foot antenna in the North Fork (antenna ID 1), a single 15-foot antenna in the South Fork (antenna ID 2) and two rows containing a 20 and 15-foot antenna each (antenna IDs 3-6) in the mainstem of Asotin Creek below the confluence. All new antennas are constructed of HDPE and installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at AFC until further notice. Prior to the upgrade, the site consisted of six muxed antennas powered by an FS1001M."
JOC,Joseph Creek ISA @ km 3,Instream Remote Detection System,46.030237,-117.016408,522.271.007.003,803,2010-10-01,2019-11-02,"In-stream detection system consisting of a tandem array located in Joseph Creek. In 2019 the array was relocated 450m upstream after being regularly damaged in its former location. The paired array is deployed serially 40m apart, and consists of two 20 ft Biomark HDPE antennas, respectively. JOC is operated by Biomark and the Nez Perce Tribe and was installed for continuous monitoring on October 15, 2010. The array includes site monitoring equipment including air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by AC and a battery switcher and remote communication provided by a satellite modem."
WEN,Wenaha River Mouth,Instream Remote Detection System,45.946151,-117.454124,522.271.073.001,867,2018-09-27,2022-09-20,"Instream detection array on the Wenaha River near Troy, Oregon (called the Little Salmon (Wenaha) on tax maps).  Array consists of two IS1001-MTS multiplexing receivers (not synchronized), one MTS with three antennas, and one MTS services two antennas.  Each antenna has an associated 24v-IS1001.  Antenna arrays are upstream (three antennas), middle (one antenna) and downstream (one antenna).  The middle and downstream arrays are serviced with one MTS, and the upstream array is on the second MTS.   The middle and downstream arrays span the normal low water mark and are secured to the substrate for pass-over detection.   The upstream array is on the river left, and is what is remaining from the original system that was heavily damaged during a high water event in the spring of 2019.  The two downstream antennas (and arrays) provide stream-width coverage to determine detection efficiency and direction of movement, and have direct communication to PTAGIS.  The upstream array is not connected to the internet, and is serviced every quarter.  Site is grid powered and operates year-round.   Site is on ODFW (upstream array) and private property (middle and downstream arrays)."
WR1,Wallowa River at river km 14,Instream Remote Detection System,45.633679,-117.733757,522.271.131.014,938,2013-08-16,NA,"WR1 is an in-stream detection system consisting of a single array located in the Wallowa River, Oregon.  The array is located at river km 522.271.131.014 (N 45.633769 ° W -117.73369°) and consists of six 20 foot Biomark flat panel antennas.  The array spans all but 20 feet of the river at base flow.  WR1 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe Fisheries and Quantitative Consultants, Inc. and was installed for continuous monitoring on August 16, 2013.  The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level.  Electrical power is provided by a thermal electric generator.  Remote communication is provided by a satellite phone modem.  Data collection started on August 16, 2013."
MR1,Minam River at river km 0.5,Instream Remote Detection System,45.619623,-117.72657,522.271.131.016.001,941,2020-02-20,NA,"MR1 is a tandem array in-stream detection system located in the Minam River approximately 0.5 km upstream of the confluence of the Minam and Wallowa Rivers  (lat 45.619623°, lon -117.726570°).  The site is just upstream of a rotary smolt trap seasonally operated by Oregon Department of Fish and Wildlife. Streamside components including master controller, propane tanks, thermal electric generator, solar array and battery box are located on the north bank of the Minam River between the river and a large pull-out along Highway 82. A total of 10 HDPE attenae (2 sets of 5 in parallel) span 32 meters of stream.  MR1 was installed in August of 2019 by Nez Perce Tribe Grande Ronde Supplementation Monitoring and Evaluation Program. MR1 began collecting data in February of 2020. Data are downloaded manually."
WR2,Wallowa River at rkm 32,Instream Remote Detection System,45.594466,-117.579223,522.271.131.032,956,2018-08-02,2022-10-15,"WR2 is a tandem array in-stream detection sytem located in the Wallowa River at approximately river km 32 just upstream of Lower Diamond Road bridge near the town of Wallowa, OR. A total of 8 HDPE antennas (2 sets of 4 in parallel) span approximately 21 meters river channel. WR2 was installed on August 2, 2018 and is operated by the Nez Perce Tribe Grand Ronde Supplementation Monitoring and Evaluation Program. The site is powered by a thermal electric generator fueled by a 300 gallon propane tank. Remote communication is provided by satellite phone modem. Data collection started on October 23, 2018."
LGW,Lookingglass Creek Weir,Adult Fishway,45.735111,-117.863459,522.271.137.004,934,2022-11-01,NA,"Instream detection array located in Lookingglass Creek, upstream from the hatchery at the hatchery water intake adult fish ladder. This ladder allows adult fish passage to upper Lookingglass Creek to spawn. The site includes two pass-through antennas located in the adult fish ladder associated with the hatchery water intake. Antennas are powered by synchronized Biomark IS1001's. The site is on grid power and manually downloaded. "
UGR,Upper Grande Ronde at rkm 155,Instream Remote Detection System,45.59352,-117.903379,522.271.155,948,2012-10-18,NA,"In-stream detection system consisting of a single array located in the Grand Ronde River. The array (UGR) is located at river km 522.271.155 (45. 593338, -117.903124) and consists of six 20 foot Biomark flat panel antennas. The array spans the entire river at base flow. UGR is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe Fisheries and Quantitative Consultants, Inc. and was installed for continuous monitoring on October 18, 2012. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a hybrid solar/ thermal electric generator. Remote communication is provided by a satellite phone modem. Data collection started on October 18, 2012."
CCU,Catherine Creek at Union,Instream Remote Detection System,45.215252,-117.900689,522.271.232.025,1050,2018-12-19,NA,"Instream detection array near the town of Union, Oregon, consisting of a IS1001-MTS multiplexing receiver and four antennas, each with 24v-IS1001s. Two antenna arrays are composed of two antennas each that span the normal high water mark and are secured to the substrate for pass-over detection.  Two antennas are placed side-by-side to span the creek for the upstream and downstream arrays. Site is grid powered and operates year-round. Site is on private land."
CCW,Catherine Creek Ladder/Weir,Adult Fishway,45.190964,-117.828617,522.271.232.032,1057,2015-03-02,2022-04-20,Instream detection array located in the adult-return fish ladder at the Catherine Creek weir. Site includes two pass-through antennas secured to weir-dam boards.  Antennas are each powered by Biomark IS-1001’s that are synchronized. Each IS-1001 has a unique IP address which can be accessed over the Advantech Smartflex Cell modem located inside the adult return ladder. The site is on grid power. 
UGS,Upper Grande Ronde Starkey,Instream Remote Detection System,45.248955,-118.388958,522.271.291,1084,2017-11-03,2022-04-14,"Instream detection array near the upper Grande Ronde weir at Starkey, consisting of a IS1001-MTS multiplexing receiver and eight antennas, each with 24v IS1001s.  Antenna arrays consist of eight antennas that span the normal high water mark and are secured to the substrate for pass-over detection.  Three antennas are placed side-by-side to span the creek for the upstream two arrays, and two antennas are placed side-by-side to span the creek for the downstream most array. This provides three separate arrays of coverage. Site is grid powered and operates year-round. Site is on private land."
WB1,White Bird Cr Seasonal IPTDS,Instream Remote Detection System,45.758183,-116.306603,522.303.086.002,913,2021-01-14,NA,"White Bird Creek is a tributary of the lower Salmon River, Idaho.  The confluence of White Bird Creek is on the east side of the Salmon River at river kilometer 86 and about 5.8 miles in length, and is a minor spawning area for the Snake River summer steelhead within the Little Salmon River steelhead population.  The White Bird Creek interrogation site was installed as a temporary and seasonal site at river kilometer 2 to estimate steelhead abundance within the White Bird Creek spawning aggregate because an interrogation site downstream of the Little Salmon River capable of providing a population estimate for the population does not exist."
SFG,SF Salmon at Guard Station Br.,Instream Remote Detection System,45.175659,-115.579712,522.303.215.030,1070,2009-03-01,NA,"This is an in-stream interrogation system located at rkm 30 near the lower South Fork Salmon River Guard Station on the South Fork Salmon River. It consists of six flat plate antennas, spanning 36 meters across the low-water channel."
ZEN,Secesh River at Zena Cr. Ranch,Instream Remote Detection System,45.0333,-115.73302,522.303.215.059.003,1102,2009-03-01,2012-04-12,"This is an in-stream interrogation system consisting of two separate antenna arrays, 130 meters apart, near the Zena Creek Ranch.  The upstream and downstream arrays consist of four flat plate antennas each, spanning 24 meters (80 ft.) across the low-water channel."
ESS,EFSF Salmon River at Parks Cr.,Instream Remote Detection System,44.956205,-115.53315,522.303.215.060.021,1121,2009-03-01,NA,"This is an in-stream interrogation system consisting of two separate antenna arrays, 790 meters apart, on the East Fk South Fk Salmon River (rkm 21) near Parks Creek. The upstream and downstream arrays consist of four flat plate antennas each, spanning 24 meters across the low-water channel."
